Index, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10
89,22067.193359375,18697.384765625,35719.23046875,32740.978515625,50623.23046875,15579.3671875,27198.484375,23218.01171875,0,0
90,22088.07421875,18779.353515625,35750.80078125,32754.568359375,50686.79296875,15711.927734375,27157.76171875,23121.16796875,0,0
91,22134.6875,18812.77734375,35812.5234375,32710.412109375,50737.3125,15881.3251953125,27111.4375,23013.44921875,0,0
92,22138.26171875,18753.38671875,35818.9609375,32669.072265625,50701.45703125,15847.5185546875,27118.73046875,23043.27734375,0,0
93,22102.546875,18690.515625,35765.21875,32694.416015625,50632.98046875,15663.7216796875,27169.46875,23165.75,0,0
94,22067.76171875,18704.416015625,35722.7109375,32745.650390625,50618.01171875,15572.0498046875,27192.619140625,23214.890625,0,0
95,22093.84375,18781.927734375,35752.0859375,32755.068359375,50685.90625,15707.708984375,27151.896484375,23120.5,0,0
96,22134.734375,18819.35546875,35818.1484375,32714.10546875,50742.53125,15877.0576171875,27108.8125,23014.90234375,0,0
97,22140.005859375,18757.65234375,35824.61328125,32675.771484375,50710.01953125,15848.208984375,27120.759765625,23046.18359375,0,0
98,22104.146484375,18697.16796875,35774.96875,32704.234375,50639.20703125,15664.865234375,27171.68359375,23166.396484375,0,0
99,22073.271484375,18707.994140625,35732.84375,32756.333984375,50620.41796875,15572.0732421875,27188.494140625,23207.787109375,0,0
100,22096.208984375,18785.693359375,35759.55078125,32759.40625,50687.9609375,15705.873046875,27150.25,23114.515625,0,0
101,22139.40625,18818.380859375,35814.79296875,32719.162109375,50746.42578125,15878.630859375,27108.359375,23011.18359375,0,0
102,22148.634765625,18759.91796875,35831.36328125,32680.634765625,50715.92578125,15849.3779296875,27119.162109375,23043.41796875,0,0
103,22115.68359375,18703.271484375,35782.3359375,32710.509765625,50650.5,15665.4609375,27174.712890625,23169.28125,0,0
104,22080.708984375,18711.306640625,35735.5625,32757.287109375,50628.33203125,15567.0419921875,27191.35546875,23212.38671875,0,0
105,22097.947265625,18787.359375,35762.19921875,32762.556640625,50695.35546875,15698.7451171875,27156.712890625,23121.859375,0,0
106,22144.69921875,18827.51171875,35832.07421875,32724.599609375,50754.29296875,15879.0126953125,27112.10546875,23015.546875,0,0
107,22150.255859375,18764.328125,35837.34375,32679.443359375,50717.90625,15846.7783203125,27118.328125,23042.703125,0,0
108,22126.890625,18707.255859375,35791.5859375,32714.34375,50650.05078125,15665.341796875,27173.880859375,23168.68359375,0,0
109,22090.509765625,18715.431640625,35740.64453125,32760.765625,50635.7421875,15575.171875,27200.009765625,23220.32421875,0,0
110,22115.568359375,18792.75,35769.82421875,32768.25,50699.7109375,15704.609375,27160.505859375,23125.412109375,0,0
111,22155.76171875,18828.01171875,35831.5234375,32725.62109375,50754.19921875,15874.529296875,27114.990234375,23018.765625,0,0
112,22167.853515625,18776.396484375,35847.2109375,32695.916015625,50728.65625,15852.1435546875,27132.25,23050.072265625,0,0
113,22129.296875,18715.552734375,35798.1484375,32724.046875,50659.875,15665.6767578125,27181.150390625,23163.890625,0,0
114,22099.427734375,18729.833984375,35753.2734375,32773.3984375,50645.83203125,15581.2265625,27208.1875,23215.369140625,0,0
115,22121.146484375,18804.244140625,35783.29296875,32781.01171875,50710.92578125,15711.2861328125,27169.302734375,23123.93359375,0,0
116,22167.875,18840.88671875,35845.42578125,32736.447265625,50769,15881.849609375,27128.69921875,23023.796875,0,0
117,22172.71484375,18785.859375,35855.32421875,32701.18359375,50735.8359375,15856.8408203125,27139.85546875,23053.744140625,0,0
118,22132.755859375,18718.79296875,35802.98828125,32726.552734375,50662.46875,15675.927734375,27192.59375,23176.07421875,0,0
119,22097.255859375,18729.90234375,35753.75,32774.57421875,50646.48046875,15579.8935546875,27211.90625,23229.02734375,0,0
120,22120.953125,18808.509765625,35780.5234375,32787.13671875,50713.51953125,15714.4560546875,27169.494140625,23130.681640625,0,0
121,22168.421875,18846.728515625,35844.5859375,32744.52734375,50766.4921875,15886.3798828125,27120.353515625,23016,0,0
122,22170.021484375,18787.552734375,35855.10546875,32705.85546875,50731.3984375,15857.7216796875,27131.60546875,23052.291015625,0,0
123,22127.51171875,18717.337890625,35800.0546875,32730.224609375,50660.4921875,15673.5205078125,27182.962890625,23176.12109375,0,0
124,22091.509765625,18729.28125,35748.91796875,32778.6484375,50640.46875,15580.0595703125,27204.302734375,23224.30859375,0,0
125,22117.08984375,18807.677734375,35778.09375,32785.39453125,50708.6796875,15716.3408203125,27166.96484375,23137.072265625,0,0
126,22163.34375,18843.53125,35840.9921875,32742.98046875,50767.42578125,15887.6669921875,27126.458984375,23026.849609375,0,0
127,22171.44921875,18787.48046875,35853.58203125,32708.359375,50734.48046875,15865.779296875,27137.259765625,23047.068359375,0,0
128,22132.853515625,18728.49609375,35799.53125,32733.91796875,50665.8359375,15681.7451171875,27193.21484375,23176.171875,0,0
129,22101.025390625,18742.181640625,35756.92578125,32785.4375,50655.2734375,15596.9873046875,27219.322265625,23227.337890625,0,0
130,22127.583984375,18822.337890625,35786.4375,32793.9296875,50722.51171875,15725.4951171875,27183.65234375,23129.10546875,0,0
131,22166.849609375,18853.546875,35845.28125,32750.275390625,50776.17578125,15898.873046875,27143.099609375,23027.32421875,0,0
132,22170.068359375,18791.583984375,35853.39453125,32707.552734375,50739.86328125,15865.8984375,27146.462890625,23055.484375,0,0
133,22133.421875,18725.5625,35804.30078125,32735.18359375,50670.6484375,15682.912109375,27202.65625,23184.46875,0,0
